title,genre,stage_director,country,year
Американская трагедия,драма,Марийонас Гидрис,СССР,
Американская трагедия,драматический фильм,Джозеф фон Штернберг,США,1931
Американская сказка,фэнтези,Дэвид Цукер,США,2008
Американская рапсодия,биографический фильм,Эва Гардос,США,2001
Американская пастораль,драма,Юэн Макгрегор,США,2016
Американская ночь,трагикомедия,Франсуа Трюффо,Франция,1973
Американская Мэри,фильм ужасов,Джен Соска,Канада,2012
Американская милашка,Роуд-муви,Андреа Арнольд,Великобритания,2016
Американская мечта,комедия,Пол Вайц,США,2006
Американская история Икс,драма,Тони Кэй,США,1998
Американская интрижка,комедия,Уильям Олсон,США,2008
Американская звезда,триллер,Гонсало Лопес-Гальего,США,2024
Американская жестокость,криминальный фильм,Тимоти Вудворд мл.,США,2016
Американская дочь,трагикомедия,Карен Шахназаров,Россия,1995
Американская девочка,подростковый фильм,Джордан Брэйди,США,2002
Американская готика,ужасы,Джон Хаф,Великобритания,1987
Американская басня,триллер,Энн Хэмилтон,США,2016
Американка,драма,Семи Челлас,Канада,2019
Американка,драма,Дмитрий Месхиев,Россия,1997
Американизируй меня,драма,Эдвард Джеймс Олмос,США,1992
Анаконда 2: Охота за проклятой орхидеей,природный фильм ужасов,Дуайт Литтл,США,2004
Анаконда,приключенческий фильм,Луис Льоса,США,1997
Аназапта,драматический фильм,Альберто Шьямма,Великобритания,2001
"Ана, любовь моя",драматический фильм,Калин Питер Нецер,Румыния,17 февраля
Ана и волки,драма,Карлос Саура,Испания,1973
Амфетамин,драма,Скад,Гонконг,2010
Амуры,Комедия,Жак Брюйер,Германия,1994
Амур и демон,драма,Николай Федюк,Украина,1994
Амундсен,исторический,Эспен Сандберг,Норвегия,2019
