title,genre,stage_director,country,year
Амайа. Дитя вампира,драматический фильм,Игорь Легаррета,,2021
Амазонки на Луне,фантастика,Джо Данте,США,1987
Амазонка в огне,приключения,Луис Льоса,Перу,1993
Амазония,комедия,Филипп де Брока,Франция,2000
Амадей,фильм-биография,Милош Форман,США,1984
Амаара: Песнь китов,документальный фильм,Себастьян Йобст,Германия,2021
"Аляска, сэр!",,Вячеслав Ребров,Россия,1992
Аляска,драматический фильм,Клаудио Купеллини,Италия,2015
Алюминиевые человечки,комедия,Барри Левинсон,США,1987
"Альфредо, Альфредо",комедия,Пьетро Джерми,Италия,1972
Альфонс,комедия,Владимир Златоустовский,Россия,1993
Альфавиль,антиутопический,Жан-Люк Годар,Италия,1965
Американский пирог 2,Комедия,Джеймс Роджерс,США,2001
Американский пирог,комедия,Пол Вайц,США,1999
Американский огурчик,кинокомедия,Брэндон Трост,США,2020
Американский оборотень в Париже,комедийный фильм ужасов,Энтони Уоллер,США,1997
Американский оборотень в Лондоне,комедийный фильм ужасов,Джон Лэндис,США,1981
Американский ниндзя 5,боевик,Бобби Джин Леонард,США,1993
Американский ниндзя 4: Разрушение,боевик,Седрик Сандстром,США,1991
Американский ниндзя 3: Кровавая охота,боевик,Седрик Сандстром,США,1989
Американский ниндзя 2,боевик,Сэм Фёрстенберг,США,1985
Американский ниндзя,боевик,Сэм Фёрстенберг,США,1985
Американский неудачник,биографический,Эндрю Эрвин,США,2021
Американский киборг: Стальной воин,боевик,Боаз Дэвидсон,США,1993
Американский жиголо,мелодрама,Пол Шредер,США,1980
Американский дьявол,триллер,Эш Эвилдсен,США,2017
Американский друг,драма,Вим Вендерс,ФРГ,1977
Американский дедушка,Комедия,Иван Щёголев,Россия,1993
Американский грайндхаус,документальный,Элайджа Дреннер,США,2010
Американский боевой корабль,мокбастер,Тандер Левин,США,5 июля
Вон Фэйхун: Лев западных земель,боевик,Саммо Хун,Гонконг,1997
Американские молнии,спортивный,Джон Бэдэм,США,1985
Американские животные,драма,Барт Лэйтон,Великобритания,2018
Американские детки,Комедия,Джош Столберг,США,2005
Американские граффити,комедийная драма,Джордж Лукас,США,1973
Американские горки,криминальная драма,Джеб Стюарт,США,1997
Американские бродяги,комедия,Майкл Коверт,США,1996
Американская трагедия,судебная драма,Лоуренс Шиллер,США,
